record_id,user_id,username,is_anomaly,anomaly_type,severity,explanation
0,USR00057,zainab.jo,True,CROSS_DEPT,MEDIUM,Unusual access pattern: CROSS DEPT
1,USR00079,varun.weber,True,AFTER_HOURS,MEDIUM,Unusual access pattern: AFTER HOURS
2,USR00085,varun.rao,True,FAILED_ATTEMPTS,HIGH,High-risk access pattern: FAILED ATTEMPTS
3,USR00037,ronald.wilson,False,NORMAL,NONE,Access within expected behavioral baseline
4,USR00048,xiulan.colombo,True,AFTER_HOURS,MEDIUM,Unusual access pattern: AFTER HOURS
5,USR00032,pooja.martin,True,CROSS_DEPT,MEDIUM,Unusual access pattern: CROSS DEPT
6,USR00015,sophia.white,False,NORMAL,NONE,Access within expected behavioral baseline
7,USR00017,diya.schulz,True,AFTER_HOURS,MEDIUM,Unusual access pattern: AFTER HOURS
8,USR00036,nicholas.harris,True,FAILED_ATTEMPTS,HIGH,High-risk access pattern: FAILED ATTEMPTS
9,USR00010,jacob.patel,True,OFF_HOURS_ADMIN,HIGH,High-risk access pattern: OFF HOURS ADMIN
10,USR00075,timothy.huang,True,UNUSUAL_RESOURCE,MEDIUM,Unusual access pattern: UNUSUAL RESOURCE
11,USR00068,robert.patel,True,AFTER_HOURS,MEDIUM,Unusual access pattern: AFTER HOURS
12,USR00070,jeffrey.chen,True,UNUSUAL_RESOURCE,MEDIUM,Unusual access pattern: UNUSUAL RESOURCE
13,USR00063,daniel.colombo,False,NORMAL,NONE,Access within expected behavioral baseline
14,USR00011,maria.o'brien,True,BULK_DATA_EXFILTRATION,CRITICAL,Bulk data export from high sensitivity resource
15,USR00022,harsh.patel,True,FAILED_ATTEMPTS,HIGH,High-risk access pattern: FAILED ATTEMPTS
16,USR00057,zainab.jo,True,CROSS_DEPT,MEDIUM,Unusual access pattern: CROSS DEPT
17,USR00022,harsh.patel,True,AFTER_HOURS,MEDIUM,Unusual access pattern: AFTER HOURS
18,USR00006,kevin.ramirez,True,STALE_ACCESS,HIGH,High-risk access pattern: STALE ACCESS
19,USR00005,george.lim,True,FAILED_ATTEMPTS,HIGH,High-risk access pattern: FAILED ATTEMPTS
20,USR00010,jacob.patel,True,FAILED_ATTEMPTS,HIGH,High-risk access pattern: FAILED ATTEMPTS
21,USR00097,leila.lopez,False,NORMAL,NONE,Access within expected behavioral baseline
22,USR00036,nicholas.harris,False,NORMAL,NONE,Access within expected behavioral baseline
23,USR00048,xiulan.colombo,True,UNUSUAL_RESOURCE,MEDIUM,Unusual access pattern: UNUSUAL RESOURCE
24,USR00094,donald.schulz,False,NORMAL,NONE,Access within expected behavioral baseline
25,USR00022,harsh.patel,True,OFF_HOURS_ADMIN,HIGH,High-risk access pattern: OFF HOURS ADMIN
26,USR00018,meera.burke,False,NORMAL,NONE,Access within expected behavioral baseline
27,USR00076,stephen.guo,False,NORMAL,NONE,Access within expected behavioral baseline
28,USR00030,yuki.meyer,True,BULK_DATA_EXFILTRATION,CRITICAL,Bulk data export from high sensitivity resource
29,USR00061,sophia.hernandez,True,UNUSUAL_RESOURCE,MEDIUM,Unusual access pattern: UNUSUAL RESOURCE
30,USR00018,meera.burke,True,OFF_HOURS_ADMIN,HIGH,High-risk access pattern: OFF HOURS ADMIN
31,USR00015,sophia.white,False,NORMAL,NONE,Access within expected behavioral baseline
32,USR00059,thomas.lewis,True,STALE_ACCESS,HIGH,High-risk access pattern: STALE ACCESS
33,USR00044,pooja.mishra,True,OFF_HOURS_ADMIN,HIGH,High-risk access pattern: OFF HOURS ADMIN
34,USR00054,edward.smith,False,NORMAL,NONE,Access within expected behavioral baseline
35,USR00034,harsh.jones,True,UNUSUAL_RESOURCE,MEDIUM,Unusual access pattern: UNUSUAL RESOURCE
36,USR00040,nicholas.romano,True,STALE_ACCESS,HIGH,High-risk access pattern: STALE ACCESS
37,USR00053,timothy.jo,True,UNUSUAL_RESOURCE,MEDIUM,Unusual access pattern: UNUSUAL RESOURCE
38,USR00044,pooja.mishra,True,UNUSUAL_RESOURCE,MEDIUM,Unusual access pattern: UNUSUAL RESOURCE
39,USR00015,sophia.white,True,STALE_ACCESS,HIGH,High-risk access pattern: STALE ACCESS
40,USR00088,william.jang,True,BULK_DATA_EXFILTRATION,CRITICAL,Bulk data export from medium sensitivity resource
41,USR00043,matthew.bernard,True,BULK_DATA_EXFILTRATION,CRITICAL,Bulk data export from high sensitivity resource
42,USR00034,harsh.jones,False,NORMAL,NONE,Access within expected behavioral baseline
43,USR00099,maria.bianchi,False,NORMAL,NONE,Access within expected behavioral baseline
44,USR00048,xiulan.colombo,True,STALE_ACCESS,HIGH,High-risk access pattern: STALE ACCESS
45,USR00056,william.kumar,True,STALE_ACCESS,HIGH,High-risk access pattern: STALE ACCESS
46,USR00007,robert.smith,False,NORMAL,NONE,Access within expected behavioral baseline
